    |          Population Average          |           Best Individual            |
---- -------------------------------------- -------------------------------------- ----------
Gen  Length       Kommenda     Fitness        Length       Kommenda     Fitness        Time Left    Front Size
0    3.930e+01    1.275e+18    5.532e+11      7.000e+00    1.300e+01    1.243e-01      8.09s        0         
1    7.185e+00    1.376e+03    6.607e+04      5.000e+00    2.100e+01    1.026e-01      1.54m        0         
2    5.405e+00    8.138e+02    3.245e+02      1.500e+01    4.190e+02    9.840e-02      1.58m        0         
3    9.715e+00    7.782e+03    1.879e+02      1.700e+01    1.413e+03    6.185e-02      1.18m        0         
4    1.370e+01    1.130e+07    1.144e+05      1.500e+01    4.450e+02    5.817e-02      52.69s       0         
5    1.707e+01    3.888e+08    4.283e+03      9.000e+00    2.100e+01    5.600e-02      41.29s       0         
6    1.742e+01    1.480e+09    1.129e+06      2.900e+01    3.541e+04    3.702e-02      39.97s       0         
7    2.177e+01    2.590e+09    3.362e+02      2.700e+01    2.299e+04    2.975e-02      30.09s       0         
8    2.502e+01    5.920e+11    3.796e+02      2.700e+01    2.299e+04    2.975e-02      45.01s       0         
9    2.780e+01    1.817e+09    3.464e+04      2.700e+01    2.299e+04    2.975e-02      40.77s       0         
10   2.828e+01    2.081e+09    1.290e+03      2.700e+01    2.299e+04    2.975e-02      35.79s       0         
11   2.796e+01    1.258e+12    8.750e+02      2.700e+01    2.299e+04    2.975e-02      33.68s       0         
12   2.745e+01    3.704e+08    3.100e+03      2.700e+01    2.299e+04    2.975e-02      30.22s       0         
13   2.794e+01    1.196e+13    2.934e+04      2.300e+01    5.560e+02    2.966e-02      34.52s       0         
14   2.857e+01    2.794e+11    6.883e+01      2.100e+01    6.220e+02    2.675e-02      30.22s       0         
15   2.886e+01    7.899e+10    3.523e+03      2.100e+01    6.220e+02    2.675e-02      29.10s       0         
16   2.893e+01    2.081e+10    7.053e+01      2.100e+01    4.840e+02    2.160e-02      24.93s       0         
17   2.621e+01    6.064e+09    1.542e+02      2.100e+01    4.840e+02    2.160e-02      17.29s       0         
18   2.516e+01    3.068e+09    2.788e+03      3.300e+01    1.649e+04    1.914e-02      21.42s       0         
19   2.532e+01    9.445e+09    6.600e+01      2.100e+01    4.840e+02    1.966e-02      21.60s       0         
20   2.311e+01    1.199e+07    1.938e+04      2.100e+01    4.840e+02    1.966e-02      16.30s       0         
21   2.386e+01    7.054e+06    9.855e+00      2.300e+01    1.236e+03    1.941e-02      12.70s       0         
22   2.436e+01    4.042e+09    6.137e+01      2.300e+01    1.236e+03    1.892e-02      7.84s        0         
23   2.649e+01    1.877e+09    1.772e+02      5.700e+01    2.610e+06    1.799e-02      3.69s        0         
24   2.950e+01    2.257e+08    2.051e+01      2.300e+01    1.236e+03    1.892e-02      0.00s        0         
25   3.087e+01    3.840e+07    1.819e+02      4.900e+01    3.197e+05    1.828e-02      1.57m        0         
26   3.404e+01    1.535e+10    6.996e+05      5.300e+01    5.457e+05    1.775e-02      1.53m        0         
27   3.698e+01    5.328e+08    3.200e+02      5.300e+01    5.457e+05    1.775e-02      1.23m        0         
28   3.834e+01    1.907e+15    9.724e+04      5.300e+01    5.457e+05    1.775e-02      1.05m        0         
29   4.220e+01    5.503e+09    4.418e+01      5.100e+01    7.494e+05    1.674e-02      1.03m        0         
30   4.558e+01    3.029e+09    1.074e+03      8.500e+01    3.212e+08    1.460e-02      1.00m        0         
31   4.544e+01    5.903e+12    1.533e+02      7.100e+01    3.050e+07    1.441e-02      56.58s       0         
32   4.943e+01    4.207e+09    1.403e+05      6.100e+01    2.749e+06    1.431e-02      53.26s       0         
33   4.766e+01    2.824e+11    3.044e+02      6.100e+01    2.749e+06    1.431e-02      45.07s       0         
34   4.907e+01    2.952e+10    6.265e+02      6.100e+01    2.749e+06    1.431e-02      51.91s       0         
35   4.856e+01    2.756e+10    1.031e+02      8.900e+01    9.239e+08    1.425e-02      43.87s       0         
36   4.916e+01    6.336e+11    1.472e+01      5.500e+01    2.575e+06    1.451e-02      34.04s       0         
37   4.787e+01    7.444e+09    1.097e+01      1.090e+02    2.714e+10    1.450e-02      31.18s       0         
